,state,sat_part_17,sat_part_18,sat_part_change,sat_score_17,sat_score_18,sat_score_change,act_part_17,act_part_18,act_part_change,act_score_17,act_score_18,act_score_change
0,National,0.4,0.46,0.06,1126.0,1120.0,-6.0,0.6,0.55,-0.04999999999999993,21.0,20.8,-0.1999999999999993
1,Alabama,0.05,0.06,0.009999999999999995,1165.0,1166.0,1.0,1.0,1.0,0.0,19.2,19.1,-0.09999999999999787
2,Alaska,0.38,0.43,0.04999999999999999,1080.0,1106.0,26.0,0.65,0.33,-0.32,19.8,20.8,1.0
3,Arizona,0.3,0.29,-0.010000000000000009,1116.0,1149.0,33.0,0.62,0.66,0.040000000000000036,19.7,19.2,-0.5
4,Arkansas,0.03,0.05,0.020000000000000004,1208.0,1169.0,-39.0,1.0,1.0,0.0,19.4,19.4,0.0
5,California,0.53,0.6,0.06999999999999995,1055.0,1076.0,21.0,0.31,0.27,-0.03999999999999998,22.8,22.7,-0.10000000000000142
6,Colorado,0.11,1.0,0.89,1201.0,1025.0,-176.0,1.0,0.3,-0.7,20.8,23.9,3.099999999999998
7,Connecticut,1.0,1.0,0.0,1041.0,1053.0,12.0,0.31,0.26,-0.04999999999999999,25.2,25.6,0.40000000000000213
8,Delaware,1.0,1.0,0.0,996.0,998.0,2.0,0.18,0.17,-0.009999999999999981,24.1,23.8,-0.3000000000000007
9,District of Columbia,1.0,0.92,-0.07999999999999996,950.0,977.0,27.0,0.32,0.32,0.0,24.2,23.6,-0.5999999999999979
10,Florida,0.83,0.56,-0.2699999999999999,1017.0,1099.0,82.0,0.73,0.66,-0.06999999999999995,19.8,19.9,0.09999999999999787
11,Georgia,0.61,0.7,0.08999999999999997,1050.0,1064.0,14.0,0.55,0.53,-0.020000000000000018,21.4,21.4,0.0
12,Hawaii,0.55,0.56,0.010000000000000009,1085.0,1010.0,-75.0,0.9,0.89,-0.010000000000000009,19.0,18.9,-0.10000000000000142
13,Idaho,0.93,1.0,0.06999999999999995,1005.0,1001.0,-4.0,0.38,0.36,-0.020000000000000018,22.3,22.3,0.0
14,Illinois,0.09,0.99,0.9,1115.0,1019.0,-96.0,0.93,0.43,-0.5,21.4,23.9,2.5
15,Indiana,0.63,0.63,0.0,1074.0,1074.0,0.0,0.35,0.32,-0.02999999999999997,22.6,22.5,-0.10000000000000142
16,Iowa,0.02,0.03,0.009999999999999998,1275.0,1265.0,-10.0,0.67,0.68,0.010000000000000009,21.9,21.8,-0.09999999999999787
17,Kansas,0.04,0.04,0.0,1260.0,1265.0,5.0,0.73,0.71,-0.020000000000000018,21.7,21.6,-0.09999999999999787
18,Kentucky,0.04,0.04,0.0,1247.0,1248.0,1.0,1.0,1.0,0.0,20.0,20.2,0.1999999999999993
19,Louisiana,0.04,0.04,0.0,1198.0,1210.0,12.0,1.0,1.0,0.0,19.5,19.2,-0.3000000000000007
20,Maine,0.95,0.99,0.040000000000000036,1012.0,1013.0,1.0,0.08,0.07,-0.009999999999999995,24.3,24.0,-0.3000000000000007
21,Maryland,0.69,0.76,0.07000000000000006,1060.0,1080.0,20.0,0.28,0.31,0.02999999999999997,23.6,22.5,-1.1000000000000014
22,Massachusetts,0.76,0.8,0.040000000000000036,1107.0,1125.0,18.0,0.29,0.25,-0.03999999999999998,25.4,25.5,0.10000000000000142
